table_name	col_name	data_type
ACC_LOG_DTL_IX	access_instant	decimal(16,6)
ACC_LOG_DTL_IX	process_id	string
ACC_LOG_DTL_IX	data_mnemonic_id	string
ACC_LOG_DTL_IX	string_value	string
ACC_LOG_DTL_IX	integer_value	decimal(18,0)
ACC_LOG_DTL_IX	dl_load_dt	date
ACC_LOG_DTL_IX	dl_load_ts	timestamp
ACC_LOG_DTL_IX_2022	access_instant	decimal(16,6)
ACC_LOG_DTL_IX_2022	process_id	string
ACC_LOG_DTL_IX_2022	data_mnemonic_id	string
ACC_LOG_DTL_IX_2022	string_value	string
ACC_LOG_DTL_IX_2022	integer_value	decimal(18,0)
ACC_LOG_DTL_IX_2022	dl_load_dt	date
ACC_LOG_DTL_IX_2022	dl_load_ts	timestamp
ACC_LOG_DTL_IX_2023	access_instant	decimal(16,6)
ACC_LOG_DTL_IX_2023	process_id	string
ACC_LOG_DTL_IX_2023	data_mnemonic_id	string
ACC_LOG_DTL_IX_2023	string_value	string
ACC_LOG_DTL_IX_2023	integer_value	decimal(18,0)
ACC_LOG_DTL_IX_2023	dl_load_dt	date
ACC_LOG_DTL_IX_2023	dl_load_ts	timestamp
ACC_LOG_DTL_IX_2024	access_instant	decimal(16,6)
ACC_LOG_DTL_IX_2024	process_id	string
ACC_LOG_DTL_IX_2024	data_mnemonic_id	string
ACC_LOG_DTL_IX_2024	string_value	string
ACC_LOG_DTL_IX_2024	integer_value	decimal(18,0)
ACC_LOG_DTL_IX_2024	dl_load_dt	date
ACC_LOG_DTL_IX_2024	dl_load_ts	timestamp
ACC_LOG_DTL_IX_2025	access_instant	decimal(16,6)
ACC_LOG_DTL_IX_2025	process_id	string
ACC_LOG_DTL_IX_2025	data_mnemonic_id	string
ACC_LOG_DTL_IX_2025	string_value	string
ACC_LOG_DTL_IX_2025	integer_value	decimal(18,0)
ACC_LOG_DTL_IX_2025	dl_load_dt	date
ACC_LOG_DTL_IX_2025	dl_load_ts	timestamp
ACC_LOG_DTL_IX_2026	access_instant	decimal(16,6)
ACC_LOG_DTL_IX_2026	process_id	string
ACC_LOG_DTL_IX_2026	data_mnemonic_id	string
ACC_LOG_DTL_IX_2026	string_value	string
ACC_LOG_DTL_IX_2026	integer_value	decimal(18,0)
ACC_LOG_DTL_IX_2026	dl_load_dt	date
ACC_LOG_DTL_IX_2026	dl_load_ts	timestamp
